Ref,Val,Package,MidX,MidY,Rotation,Layer
C1,22pF,C_0805_2012Metric,212.344,-14.3487,270,bottom
C2,22pF,C_0805_2012Metric,219.5322,-14.2263,90,bottom
C3,1uF,C_0805_2012Metric,201.6529,-20.574,180,bottom
C4,0.1uF,C_0805_2012Metric,210.0834,-17.9347,90,bottom
C5,0.1uF,C_0805_2012Metric,221.869,-14.2725,90,bottom
C6,10uF,C_0805_2012Metric,207.1624,-17.9347,90,bottom
D1,SOD-123,D_SOD-123,17.78,-10.669,90,bottom
D2,SOD-123,D_SOD-123,36.83,-10.669,90,bottom
D3,SOD-123,D_SOD-123,55.88,-10.667,90,bottom
D4,SOD-123,D_SOD-123,74.8665,-10.669,90,bottom
D5,SOD-123,D_SOD-123,93.9165,-10.669,90,bottom
D6,SOD-123,D_SOD-123,113.03,-10.667,90,bottom
D7,SOD-123,D_SOD-123,132.08,-10.669,90,bottom
D8,SOD-123,D_SOD-123,151.13,-10.667,90,bottom
D9,SOD-123,D_SOD-123,170.18,-10.667,90,bottom
D10,SOD-123,D_SOD-123,189.2046,-10.667,90,bottom
D11,SOD-123,D_SOD-123,208.28,-10.669,90,bottom
D12,SOD-123,D_SOD-123,234.696,-10.669,90,bottom
D13,SOD-123,D_SOD-123,20.5994,-29.6662,90,bottom
D14,SOD-123,D_SOD-123,41.529,-29.6682,90,bottom
D15,SOD-123,D_SOD-123,60.6298,-29.6682,90,bottom
D16,SOD-123,D_SOD-123,79.6798,-29.6682,90,bottom
D17,SOD-123,D_SOD-123,98.7298,-29.6682,90,bottom
D18,SOD-123,D_SOD-123,117.7798,-29.6682,90,bottom
D19,SOD-123,D_SOD-123,136.8552,-29.6809,90,bottom
D20,SOD-123,D_SOD-123,155.8925,-29.6428,90,bottom
D21,SOD-123,D_SOD-123,174.9552,-29.6555,90,bottom
D22,SOD-123,D_SOD-123,193.9925,-29.6428,90,bottom
D23,SOD-123,D_SOD-123,196.596,-29.6682,90,bottom
D24,SOD-123,D_SOD-123,236.8296,-29.6682,90,bottom
D25,SOD-123,D_SOD-123,24.78405,-48.769,90,bottom
D26,SOD-123,D_SOD-123,51.14925,-48.767,90,bottom
D27,SOD-123,D_SOD-123,70.07225,-48.768,90,bottom
D28,SOD-123,D_SOD-123,89.281,-48.769,90,bottom
D29,SOD-123,D_SOD-123,108.17225,-48.768,90,bottom
D30,SOD-123,D_SOD-123,127.381,-48.767,90,bottom
D31,SOD-123,D_SOD-123,146.39925,-48.768,90,bottom
D32,SOD-123,D_SOD-123,165.481,-48.767,90,bottom
D33,SOD-123,D_SOD-123,184.531,-48.767,90,bottom
D34,SOD-123,D_SOD-123,203.581,-48.769,90,bottom
D35,SOD-123,D_SOD-123,222.631,-48.767,90,bottom
D36,SOD-123,D_SOD-123,225.01225,-48.769,90,bottom
D37,SOD-123,D_SOD-123,17.78,-67.8444,90,bottom
D38,SOD-123,D_SOD-123,38.862,-67.7916,90,bottom
D39,SOD-123,D_SOD-123,60.5028,-67.7936,90,bottom
D40,SOD-123,D_SOD-123,124.8664,-67.7408,90,bottom
D41,SOD-123,D_SOD-123,203.5048,-67.7936,90,bottom
D42,SOD-123,D_SOD-123,222.5548,-67.7916,90,bottom
D43,SOD-123,D_SOD-123,225.1202,-67.7916,90,bottom
D44,SOD-123,D_SOD-123,98.8568,-67.7936,90,bottom
D45,SOD-123,D_SOD-123,158.242,-67.7916,90,bottom
D46,SOD-123,D_SOD-123,175.133,-67.818,90,bottom
F1,500mA,Fuse_1206_3216Metric,193.421,-18.923,180,bottom
R1,10k,R_0805_2012Metric,222.1207,-32.639,0,bottom
R2,10k,R_0805_2012Metric,225.2195,-21.717,180,bottom
R3,22,R_0805_2012Metric,199.1125,-15.494,180,bottom
R4,22,R_0805_2012Metric,199.1595,-17.526,180,bottom
SW1,SW_Push,SKQG-1155865,219.9628,-36.4702,180,bottom
U1,ATmega32U2-AU,LQFP-32_7x7mm_P0.8mm,216.7064,-22.7932,270,bottom
Y1,16Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,216.111,-14.263,0,bottom
