Designator,Quantity,Package,Value,LCSC Part #,Manufacturer,Manu Part #
"R4,R3",2,R_0805_2012Metric,22,C17561,UNI-ROYAL(Uniroyal Elec),0805W8F220JT5E
"D46, D42,D45,D4,D44,D32,D36,D35,D34,D33,D31,D30,D29,D28,D27,D26,D25,D19,D24,D23,D22,D21,D20,D18,D17,D16,D15,D14,D13,D2,D8,D10,D43,D41,D40,D39,D38,D37,D12,D11,D9,D7,D6,D5,D3,D1",46,D_SOD-123,SOD-123,C64898,MDD(Microdiode Electronics),SM4007PL
U1,1,LQFP-32_7x7mm_P0.8mm,ATmega32U2-AU,C618733,Microchip Tech,ATMEGA32U2-AU
C6,1,C_0805_2012Metric,10uF,C15850,Samsung Electro-Mechanics,CL21A106KAYNNNE
J1,1,JST-SR-4,Conn_01x04,C160404,JST Sales America,SM04B-SRSS-TB(LF)(SN)
C3,1,C_0805_2012Metric,1uF,C28323,Samsung Electro-Mechanics,CL21B105KBFNNNE
Y1,1,Crystal_SMD_3225-4Pin_3.2x2.5mm,16Mhz,C13738,Yangxing Tech,X322516MLB4SI
"C2,C1",2,C_0805_2012Metric,22pF,C1804,Samsung Electro-Mechanics,CL21C220JBANNNC
SW1,1,SKQG-1155865,SW_Push,C318884,XKB Connectivity,TS-1187A-B-A-B
"R2,R1",2,R_0805_2012Metric,10k,C17414,UNI-ROYAL(Uniroyal Elec),0805W8F1002T5E
F1,1,Fuse_1206_3216Metric,500mA,C70076,TECHFUSE,nSMD050-24V
"C5,C4",2,C_0805_2012Metric,0.1uF,C49678,YAGEO,CC0805KRX7R9BB104
