Designation,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,55.88,240.919,180,bottom
C2,1uF,C_0805_2012Metric,61.782999,235.966,0,bottom
C3,10uF,C_0805_2012Metric,236.474,219.522001,90,bottom
C4,100nF,C_0805_2012Metric,240.665,236.789,90,bottom
C5,100nF,C_0805_2012Metric,233.208751,220.762751,225,bottom
C6,100nF,C_0805_2012Metric,243.398001,223.647,0,bottom
C7,10nF,C_0805_2012Metric,228.473,232.222,90,bottom
C8,4.7nF,C_0805_2012Metric,225.679,229.682001,90,bottom
C9,4.7uF,C_0805_2012Metric,243.398001,221.615,0,bottom
C10,4.7uF,C_0805_2012Metric,230.317001,224.917,180,bottom
C11,1uF,C_0805_2012Metric,230.505,232.222001,90,bottom
C20,4.7uF,C_0805_2012Metric,54.356,281.94,180,bottom
D1,1N4148w,D_SOD-123,17.4625,274.6375,90,bottom
D2,1N4148w,D_SOD-123,29.36875,274.575,90,bottom
D3,1N4148w,D_SOD-123,65.0875,274.6375,90,bottom
D4,1N4148w,D_SOD-123,84.1375,274.6375,90,bottom
D5,1N4148w,D_SOD-123,103.1875,274.6375,90,bottom
D6,1N4148w,D_SOD-123,122.2375,274.6375,90,bottom
D7,1N4148w,D_SOD-123,141.2875,274.575,90,bottom
D8,1N4148w,D_SOD-123,160.3375,274.575,90,bottom
D9,1N4148w,D_SOD-123,179.3875,274.575,90,bottom
D10,1N4148w,D_SOD-123,198.4375,274.575,90,bottom
D11,1N4148w,D_SOD-123,217.4875,274.7,90,bottom
D12,1N4148w,D_SOD-123,236.5375,274.575,90,bottom
D13,1N4148w,D_SOD-123,243.459,274.573,90,bottom
D14,1N4148w,D_SOD-123,17.4625,255.525,90,bottom
D15,1N4148w,D_SOD-123,48.41875,255.525,90,bottom
D16,1N4148w,D_SOD-123,69.85,255.525,90,bottom
D17,1N4148w,D_SOD-123,88.9,255.525,90,bottom
D18,1N4148w,D_SOD-123,107.95,255.525,90,bottom
D19,1N4148w,D_SOD-123,127,255.525,90,bottom
D20,1N4148w,D_SOD-123,146.05,255.525,90,bottom
D21,1N4148w,D_SOD-123,165.1,255.65,90,bottom
D22,1N4148w,D_SOD-123,184.15,255.525,90,bottom
D23,1N4148w,D_SOD-123,203.2,255.525,90,bottom
D24,1N4148w,D_SOD-123,222.25,255.5875,90,bottom
D25,1N4148w,D_SOD-123,241.3,255.525,90,bottom
D26,1N4148w,D_SOD-123,246.0625,255.525,90,bottom
D27,1N4148w,D_SOD-123,17.4625,236.5375,90,bottom
D28,1N4148w,D_SOD-123,53.18125,236.475,90,bottom
D29,1N4148w,D_SOD-123,79.375,236.475,90,bottom
D30,1N4148w,D_SOD-123,98.425,236.475,90,bottom
D31,1N4148w,D_SOD-123,117.475,236.475,90,bottom
D32,1N4148w,D_SOD-123,136.525,236.475,90,bottom
D33,1N4148w,D_SOD-123,155.575,236.6,90,bottom
D34,1N4148w,D_SOD-123,174.625,236.6,90,bottom
D35,1N4148w,D_SOD-123,193.675,236.5375,90,bottom
D36,1N4148w,D_SOD-123,212.725,236.475,90,bottom
D37,1N4148w,D_SOD-123,231.775,236.5375,90,bottom
D38,1N4148w,D_SOD-123,257.96875,236.475,90,bottom
D39,1N4148w,D_SOD-123,17.4625,217.4875,90,bottom
D40,1N4148w,D_SOD-123,48.41875,217.4875,90,bottom
D41,1N4148w,D_SOD-123,86.51875,217.425,90,bottom
D42,1N4148w,D_SOD-123,107.95,217.425,90,bottom
D43,1N4148w,D_SOD-123,136.525,217.425,90,bottom
D44,1N4148w,D_SOD-123,184.15,217.425,90,bottom
D45,1N4148w,D_SOD-123,203.2,217.425,90,bottom
D46,1N4148w,D_SOD-123,224.63125,217.425,90,bottom
D47,1N4148w,D_SOD-123,262.73125,217.4875,90,bottom
D52,RB060M-60TR,D_SOD-123,57.786,233.299,0,bottom
D57,PRTR5V0U2X,SOT143B,46.371,274.967,180,bottom
D58,1N4148W,D_SOD-123,234.188,216.155,270,bottom
D59,1N4148w,D_SOD-123,155.575,217.4875,90,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,55.375,246.38,180,bottom
Q1,DTC123J,SOT-23,222.869,229.616,0,bottom
R1,100k,R_0805_2012Metric,55.9035,243.586,180,bottom
R2,100k,R_0805_2012Metric,61.7455,237.998,0,bottom
R3,1M,R_0805_2012Metric,54.3325,283.972,180,bottom
R5,100k,R_0805_2012Metric,238.506,219.4795,270,bottom
R6,5.1k,R_0805_2012Metric,41.021,272.9465,90,bottom
R7,5.1k,R_0805_2012Metric,48.895,274.9315,90,bottom
SW48,SW_Push,SKQG-1155865,240.209,215.083,0,bottom
U1,STM32F072CBTx,LQFP-48_7x7mm_P0.5mm,237.771449,228.328785,0,bottom
U2,MCP1700-3302E_SOT23,SOT-23,59.817,240.919,180,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,46.83125,288.13125,0,bottom
